placement,object class,aggregate from,aggregate to,total count,male range00to05,male range06to12,male range13to17,male range18to24,male range25to34,male range35to44,male range45to54,male range55to64,male range65over,female range00to05,female range06to12,female range13to17,female range18to24,female range25to34,female range35to44,female range45to54,female range55to64,female range65over,other range00to05,other range06to12,other range13to17,other range18to24,other range25to34,other range35to44,other range45to54,other range55to64,other range65over
rainbow-line-parking-lot-1-gate,Face,2025-02-16 00:00:00,2025-02-17 00:00:00,48,0,5,5,4,6,9,4,4,2,0,4,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-02-17 00:00:00,2025-02-18 00:00:00,19,0,0,3,5,2,1,1,2,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-02-18 00:00:00,2025-02-19 00:00:00,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-02-19 00:00:00,2025-02-20 00:00:00,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-02-20 00:00:00,2025-02-21 00:00:00,28,0,6,2,3,1,2,4,5,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-02-21 00:00:00,2025-02-22 00:00:00,68,0,4,3,1,2,3,1,8,36,0,1,1,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-02-22 00:00:00,2025-02-23 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-02-23 00:00:00,2025-02-24 00:00:00,14,1,4,1,0,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-02-24 00:00:00,2025-02-25 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-02-25 00:00:00,2025-02-26 00:00:00,50,1,4,2,0,2,1,4,5,23,0,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-02-26 00:00:00,2025-02-27 00:00:00,24,0,3,3,2,1,4,2,2,3,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-02-27 00:00:00,2025-02-28 00:00:00,112,0,31,26,5,14,10,5,5,7,0,1,3,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-02-28 00:00:00,2025-03-01 00:00:00,56,0,5,2,2,7,3,1,12,17,0,0,1,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-03-01 00:00:00,2025-03-02 00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow-line-parking-lot-1-gate,Face,2025-03-02 00:00:00,2025-03-03 00:00:00,36,0,8,2,1,4,0,2,2,5,1,2,0,2,1,2,3,0,1,0,0,0,0,0,0,0,0,0
